"(p, d, q)",Accuracy,Precision,F1,FP_rate
"(0, 1, 1)",0.47297297297297297,0.3902439024390244,0.4507042253521127,0.1891891891891892
"(0, 1, 2)",0.4864864864864865,0.4090909090909091,0.4864864864864865,0.16216216216216217
"(0, 1, 3)",0.5,0.41025641025641024,0.463768115942029,0.1891891891891892
"(0, 1, 4)",0.5,0.40540540540540543,0.44776119402985076,0.20270270270270271
"(1, 1, 1)",0.5,0.425531914893617,0.5194805194805194,0.13513513513513514
"(1, 1, 2)",0.4594594594594595,0.38095238095238093,0.4444444444444444,0.1891891891891892
"(1, 1, 3)",0.3783783783783784,0.2894736842105263,0.3235294117647059,0.25675675675675674
"(1, 1, 4)",0.43243243243243246,0.3333333333333333,0.36363636363636365,0.24324324324324326
"(2, 1, 1)",0.4189189189189189,0.35555555555555557,0.4266666666666667,0.1891891891891892
"(2, 1, 2)",0.5135135135135135,0.425,0.4857142857142857,0.17567567567567569
"(2, 1, 3)",0.527027027027027,0.43902439024390244,0.5070422535211268,0.16216216216216217
"(2, 1, 4)",0.36486486486486486,0.28205128205128205,0.3188405797101449,0.25675675675675674
"(3, 1, 1)",0.44594594594594594,0.3333333333333333,0.3492063492063492,0.25675675675675674
"(3, 1, 2)",0.40540540540540543,0.3055555555555556,0.3333333333333333,0.25675675675675674
"(3, 1, 3)",0.4594594594594595,0.3611111111111111,0.3939393939393939,0.22972972972972974
"(3, 1, 4)",0.44594594594594594,0.36585365853658536,0.4225352112676056,0.20270270270270271
